complaints,Product,Company,target
"what happen was some unknown person or person [ s ] stole over XXXX of my money from my bank of America account.the identity thief seems to have originated from a company call XXXX which I previously brought a item or two in the past. I did not notice these amounts missing since I don't regularly check my account, because I never had this type of thing happen before, since bank of America would text if they suspect something was not quite right about purchases or debit amount, but not in this case. I check my account the XX/XX/XXXX and notice my money was gone. I immediately call bank of America and told them of this breach and I also contacted XXXX about this thief. Bank of America assured me they would investigate this matter and they would give me a temporary credit until investigation was complete. Than shockingly they reverse my temporary credit as they were not sure of the fraud .I been a loyal customer of bank of America for many years and felt like I been victimize twice as if I was some how negligent in the thief of my money. I wish this did not happen since my money is important to my family and bills. I am requesting all moneys be return to my account.",Credit card or prepaid card,"BANK OF AMERICA, NATIONAL ASSOCIATION",1
"The complaint I am presenting involves U.S. BANK, specifically unsecured credit, which I currently owe as the sole debtor of a U.S. BANK credit card account. 

The issue with U.S. BANK is that I have no way of paying my credit card bill, which I owe them. 

Before XX/XX/2020, I had never missed a single payment. Preceding XX/XX/2020, I had made all payments, consecutively, concerning my U.S. BANK credit card account debt via auto-pay ; this payment toward my unsecured credit was executed utilizing my checking account. 

During XX/XX/2020, I began the process of separation and divorce, which required that I change my personal debit card account number ; this account number was utilized to make my auto-pay payments to U.S. BANK. Needless to say, I was only several days short of my debt remittance, at which point U.S. BANK immediately sent the debt to collections. 

To cure this discrepancy regarding my, payment details ( specifically the change in my personal checking account card number ), I attempted to access my U.S. BANK online portal account. However, because my U.S. BANK debt had been sent to collections, U.S. BANK removed my ability to access this online portal account. 

Without access, I next called the U.S. BANK 's customer service phone number ( listed on the back of my U.S. BANK credit card ). The first call I made to this customer service number took a mere twenty minutes to reach the customer service representative. Unfortunately, U.S. BANK 's general customer service department could not fix this account issue as only the U.S. BANK collections department has the ability to assist me with such a problem ; this information is the limited information the general customer service department could provide me. So, kindly, the customer service representative transferred me to collections. I waited on hold for two hours and forty-five minutes to speak with the U.S. BANK collections department, and at the forty-sixth minute, the call cut  off. 

I have repeated this process of calling the U.S. BANK customer service phone number twenty-three times as of today ; this "" process '' referring to being transferred to collections, remaining on hold for periods which range from one hour to nearly three hours, only to never speak with a single person from the collections department. 

At this point, I do not know what to do. All I want is to pay my bill ... and the longer I wait, the more my credit score is damaged, as well as late fees are being added which require more countless hours, I can only assume at this point, of waiting on hold to then explain the reasoning for the necessary late fee removals. 

Also, I should mention that I have not received a single call from U.S. BANK, nor an email, nor a letter, which would allow me to pay my unsecured debt, which I currently owe as the sole debtor of this U.S. BANK credit account. As far as any contact what so ever from U.S.BANK ... I did receive an email in mid-XX/XX/2020 that my XX/XX/2020 payment did not execute via auto-pay, which was the notification that initiated this process I have relayed. 

ALL I WANT IS TO PAY MY BILL. 

PLEASE HELP.",Debt collection,U.S. BANCORP,0
"This saga started in XX/XX/XXXX, when I called LoanCare to determine the amount of refund we should expect from our Borrower-paid Single-premium PMI policy if we refinanced our loan and paid off the balance serviced by LoanCare. It took several calls to get any kind of answer, and then they told me I had to call the actual insurance company to get that amount. I called that company, and they laughed at me. "" You are not our customer. We will only talk to LoanCare. '' Subsequent to the XX/XX/XXXX payoff of our loan via that refinancing, LoanCare is refusing to respond to repeated inquiries about the status of the refund of the unearned premiums due us from our single-premium borrower-paid PMI policy. This is in direct violation of the Homeowners Protection Act of 1998. Here is the specific language from the HPA : "" After informing the mortgage insurer of cancellation or termination, you must send notice to the borrower that you canceled or terminated PMI. You must send this notice not later than 30 days after you have canceled or terminated PMI. The mortgage insurer then has 30 days to return any unearned premiums to you. You, in turn, have 45 days to return the unearned premiums to the borrower. '' No notice has been sent by LoanCare, and they are refusing to acknowledge that they have any obligations to do so. 

Multiple emails ( attached below ) were ignored, and when I finally reached "" XXXX '' by phone ( on XX/XX/XXXX ), she clearly didn't understand what a single-premium PMI policy is ( despite being in LoanCare 's "" insurance '' group ). After first telling me that we received a "" PMI refund '' as part of our escrow refund ( which we did not ), she put me on hold again -- returning to tell me that there is no refund due for our policy. I asked for documentation for why that is the case, and she promised that I would be receiving that by COB. 

Crickets. Based on the fact that multiple previous interactions have resulted in zero response, I am confident that LoanCare believes they can continue to avoid their responsibilities in this matter.",Mortgage,"LoanCare, LLC",2
"I checked my credit report in XX/XX/XXXX and noticed a collections debt that I had no prior knowledge of. I had not been given due process/notification via phone, email or mail that I owed stated debt by XXXX or I.Q Data International. 

Due to that fact I began to dispute it citing fraud. I finally received a letter dated XX/XX/XXXX from I.Q. Data International , Inc. stating that they would investigate my fraud claim if I provided certain information such as police reports, copy of my valid government issued Id and proof of residency at said time fraud occurred. 

I believed it to be fradulent initially because I had not been notified or given due process by XXXX or I.Q. Data International notifying me of the debt. The debt just appeared out of nowhere on my credit report. Only when I noticed it on my credit report and disputed it as fraud did they reach out to contact me and notify me after the fact via mail of the said debt. 

At this time I wrote a letter to I.Q. Data International , Inc in response to their letter to me dated XXXX. I requested 1 ) debt validation and 2 ) to provide me with proof that they own or have been assigned the debt by the original creditor and have the legal authority to collect this debt in the state of TX. 

I received a letter from I.Q. Data International, Inc on XX/XX/XXXX. They provided 1 ) verification of the debt but failed to provide me with 2 ) proof that they own and/or have been assigned the debt by the original creditor and are legally authorised to collect this debt in the state of TX. 

On XX/XX/XXXX I wrote a letter to I.Q. Data informing them of the missing information that they must provide to me legally. In the letter I informed them that if they did not provide me the information and continued to pursue collections efforts against me that they would be in violation of the Fair Debt Collections Practices Act.

Since sending that letter I have not received any further letters in attempts to collect this debt from me via mail but they continue to fradulently report to XXXX.

I have filed at least 4 disputes with XXXX  on this case. XXXX  has put that I dispute the case on my file however if the Collection Agency does not provide me with what I am due legally then they are in violation of the Fair Debt Collection Practices Act and must remove this from my credit report and cease all future collection efforts. 

By law the agency after receiving my dispute must send me proof that it owns or has been assigned the debt by the original creditor, validation of the debt and proof that they are legally authorised to collect this debt in the state of TX. 

If this does not happen how do I know that the original creditor actually hired this company and this company is not trying to run a scam? What if I settle this dispute and another collection agency contacts me claiming that I owe this debt to them? Without providing me this proof all settlement attempts on my end to provide a pay in lieu of deletion have been stalled due to their negligence, fraud and abuse. 

If this collection agency is not fradulent or a scam why have they discontinued pursuing further collections via mail with me yet continue to report this fradulent debt to the credit bureau?",Debt collection,"I.Q. DATA INTERNATIONAL, INC.",0
"-I purchased item on XX/XX/XXXX from XXXX. 
-Seller shipped wrong specification of item, and I notified seller that I would not accept the delivery if seller did not cancel order -Item was still delivered to XXXX, CO, USA via XXXX via tracking # XXXX -Ite",Credit card or prepaid card,"CITIBANK, N.A.",1
"Issues with FEDloan regarding Public Service Loan Forgiveness ( PSLF ) 1. On XX/XX/XXXX, my employer certified my employment via form XXXX XXXX. XXXX with the XXXX XXXX where I have served since XX/XX/XXXX ( I will have 14 years of service in 2 weeks ). I uploaded my completed form to FEDloan in accordance with their established procedures for the PSLF program. FEDloan responded that my employment could not be certified because my employment end date in section 3 was blank/missing. I've attached the form that I uploaded with PII removed. Clearly the box "" Still Employed '' is checked. 

2. I started the process for PSLF in early XXXX and have been given the run-around just like the other 99 % of applicants that have been denied forgiveness for this program. FEDloan has yet to calculate and bring into the program a Spousal Consolidation loan that has been in repayment since late XXXX/early XXXX in the amount of {$51000.00}. The company has only pulled in my individual loan from graduate school for {$8700.00} ; initially this one was denied due to another erroneous claim by FEDloan that I did not include the EIN on the certification form, when I clearly had it written on the form. 

When I called FEDloan 's customer service, the individual from FEDloan told me that my portion of the Spousal Consolidation loan is eligible for the program. Please assist me in this matter and get FEDloan to do the right thing. This company has gotten away with erroneously denying me and tens-of-thousands of Public Servants forgiveness through this program for several years with no recourse.",Student loan,AES/PHEAA,4
"Flagship credit what a joke lost my job asked for assistance was denied told repossession would not happen until 60-90 days out, now the problem I have is I have scheduled a payment which constitutes an arrangement everyone is beyond rude I am fed up with the treatment I am debating on bankruptcy due their treatment I should not have refinanced my loan with Flagship, XXXX never treated me this way.",Vehicle loan or lease,FC HoldCo LLC,5
I am being contacted by H&R Accounts Collection Company for a medical bill that was settled by the insurance company. I believe this is an attempt to double bill me. H& R Accounts has destroyed my reputation and my credit with their collections tactics.,Debt collection,"Avadyne Health Holdings, Inc",0
"I reported fraud in XXXX, 2020. My new card took 1 month to arrive SINCE THEN NONE OF MY DIRECT DEPOSITS HAVE GONE THROUGH-THIS IS MONTHS. KEY BANK IS STEALING MONEY FROM THE UNEMPLOYED. I SET UP DIRECT DEPOSIT TO ANOTHER BANK BUT IT IS NOT GOING TO THAT OTHER BANK. HELP. HELP.",Credit card or prepaid card,KEYCORP,1
Was told by santander not to do anything until I received paperwork from the sale of the vehicle ( which to this day hasn't been received ). Now I find out from the bureau 's santander charged off the acct without giving me any opportunity whatsoever on the closed acct. Santander has also violated the Fla consumer credit protection laws ( statute 559.72 ) as they never sent anything to myself prior to engaging in their deceptive practice ( which they have been sued for in various class actions for deceptive lending practices ),Vehicle loan or lease,Santander Consumer USA Holdings Inc.,5
"Collection agency, Haris and Haris, spoke to a relative about the outstanding debt and accepted payment from them even though the relative has no liability or responsibility to the debt. 

Amount was for {$9.00} fee and {$9.00} penalty, collected on XX/XX/2019. Had previously spoken to the collection agency, to provide them with my corrected contact information, instruct them to only use the phone number I provided, and then inquired about whether they have a record of the original payment being settled ( which it was ).",Debt collection,"Harris & Harris, Ltd.",0
I do not understand how my mortgage payoff is {$100000.00} more than the original loan amount,Mortgage,Ocwen Financial Corporation,2
my name is XXXX XXXX and santander bank formerly known as XXXX XXXX has blocked my checking and savings accounts. this was done on XX/XX/19. i have made several phone calls and emails and they refused to unblock my accouns i need help i am about to be evicted from my apartment and i have no access to my money. i need this problem to be fixed today.,Checking or savings account,"SANTANDER BANK, NATIONAL ASSOCIATION",3
"I sent in a complaint yesterday, and last night received an email from PHH regarding my account. The first email addressed bogus lates reported by PHH for XXXX XXXX XXXX, now I see that they also reported me late in XXXX. Here is my email to them today. 

I am responding to an email received XX/XX/XXXX from you, PHH. You stated that PHH did not make any error in reporting my XXXX & XXXX payments as late and accessing a late fee and or derogatory make on my credit report. I have reported you to CFPB, as you are wrong. You stated that if a payment is received after the XXXX of the month a late fee of {$94.00} will be charged. XXXX payment was paid in full as follows XX/XX/XXXX {$700.00} XX/XX/XXXX {$700.00} XXXX {$700.00} XXXX {$450.00} WELL BEFORE THE XXXX OR THE XXXX!!!! PHH just doesn't know how to credit payments correctly. Instead PHH puts them in suspense!! 
XXXX payment was also paid in full by the XXXX which is a friday, the XXXX fell on a Saturday and the next business day was a holiday/XXXX  XXXX and many financial institutions were closed. So it appears PHH may not have processed my payment until the XXXX, which is not my problem, since I gave you the money on the XXXX! PHH is a nightmare and needs to stop harassing customers.",Mortgage,Ocwen Financial Corporation,2
In XXXX my mortgage company XXXX filed bankruptcy I continued to make my payments until they returned my last 2 payments in XXXX of XXXX in XXXX I received a letter from XXXX XXXX XXXX  stating that they are the servicers of my loan and they are foreclosing on my home on behalf of XXXX XXXXXXXX XXXX XXXX because payments were not being made I explained that I never received any further notice from XXXX or any correspondence from XXXX XXXXXXXX XXXX I applied for a modification with them but they turned me down I attended several foreclosure conferences until my case was transferred to the Supreme court I also contacted the XXXX  XXXX XXXX XXXX who sent me an email stating that after researching their database they found no records of my property and they are not my trustee I also hired an attorney who got the same response in XXXX of XXXX I received a check from NY Dept.of Financial Services with a letter attached stating that I'm receiving a payment due to a lawsuit against XXXX then in XXXX I got a mail from XXXX XXXX XXXX stating that they are a debt collector collecting a debt for XXXX someone I never heard of and they never stated what the debt was for so I filed a chapter XXXX and XXXX XXXX  XXXX was discharged but I still got a notice of foreclosure from them so my attorney filed a motion to show cause we had a hearing for XX/XX/XXXX and the representative for XXXX XXXX XXXX came to the court with nothing but the bankruptcy that I filed so a new date was set for XX/XX/XXXX but the judge did not grant us a chance to speak he made a decision granting foreclosure to XXXX XXXX XXXX even though they never submitted any documents to show cause to my attorney or the court which was a prejudice act on behalf of the judge I have had 3 counseling sessions with XXXX XXXX XXXX XXXX and XXXX XXXX XXXX XXXX  when my counselor called FHA she was told that my loan was owed by state bridge now that has me confused since judgement was given to XXXX when XXXX returned my payments and I received that check from XXXX I thought that my mortgage was discharged please let me know as soon as possible what can be done at this point thank you,Mortgage,Statebridge Company,2
"I never recieved anything in the mail stating I had a debt with this company, i received my first call from them in XX/XX/2019 stating i owed a debt and was late and they would soon start reporting on my credit. I asked the man to please send a letter validating the debt since I had no knowledge of the debt he was referring to, he proceeded to tell me they had already sent it and it was sent back to them, which is impossible since I never sent anything back to them. So he said they would send it again. By XX/XX/2019 I still had not received anything so XX/XX/XXXX I called and requested again for them to validate my debt and the man said it was to late so I asked to speak to a supervisor and the supervisor then told me I could dispute the debt and that they will send me validation in the mail by 30 days, which they did not. So XX/XX/XXXX I called and was told that they were still investigating and then I was told he closed out the investigation while we were speaking and that I would receive documentation validating my debt. To this day I have not received anything in the mail from them yet they are still negatively reporting to the credit bureaus on a debt they cant seem to validate.",Debt collection,ENCORE CAPITAL GROUP INC.,0
"On XX/XX/XXXX Regional Finance located at XXXX XXXX XXXX XXXX South Carolina XXXX XXXX XXXX attempted to contact me at work again, I have told them before that they can't contact me at work. This is not the first time they have called.",Debt collection,Regional Management Corporation,0
"I made a payment to PHH mortgage, the last day of XX/XX/XXXX to be intended to XX/XX/XXXX. It was half of the payment. The rest of the payment was payed on XX/XX/XXXX. The mortgage company notified me XX/XX/XXXX that XXXX was in a suspended account. And that I owed the amount in their suspended account. I called XX/XX/XXXX, the customer service women told me she would reverse the payment and it would take 10 business days. I called mid XXXX and was told in 24 more hours. Then nothing again was reversed. I called and spoke to another customer service who told me it would be reversed. I asked to speak with manager or management. He said no management he sent me to escelation department, I spoke with XXXX XXXX who assured me I would have a business letter explaining what happened, but that was money was suspended they could not reverse it and I owed XXXX i paid the XXXX a couple days later. I have a late payment on my credit report, paid an extra XXXX, no letter of explanation, and was misinformed by customer service on several occasions. 
Sincerely, XXXX XXXX",Mortgage,Ocwen Financial Corporation,2
"I have the Sears credit card which I closed and without my request they opened an accounts on shop your way, after I closed the account on this card. I talked to city bank they told me that the account was closed but I am still receiving statements every month. When I looked for the manager they stated they don't know and can't fix anything. They are opening cards without my consent or without me asking them to. 
These are the last digits of the cards they opened without my request. 
XXXX, XXXX, XXXX, XXXX, I have one card XXXX and I closed this card with the account.",Credit card or prepaid card,"CITIBANK, N.A.",1
"On XX/XX/19 I set up payments with Preferred Collection and Management Services. I made one payment online and was sent a statement for the three payments post initial payment. I was looking into why I owed $XXXX in the first place since I had not been billed. When the second payment was due on XX/XX/19 I called and payed the balance to avoid any future payments after agreeing I did owe the balance. On XX/XX/19 my bank was drafted a payment of $XXXX. I called wanting to remove my bank card from the records since I have now overpayed. I was told by supervisor XXXX  that preferred does not have my card on file and that I must have made the payment myself. I consider myself a perfectly sane person and know that I did not make the last payment of $XXXX. If they do not have my card on file, I am not sure how they can draft me. I do not trust this company and am truest fed up with them and the lack of respect I received on the phone. They also wanted me to email my bank records as proof that the charge was not backed out. Yeah no I don’t think so! Wow!",Debt collection,"Preferred Collection and Management, Inc.",0
Someone has Fraudulently used my information to receive medical assistance.,Debt collection,"Capio Partners, LLC",0
Have been called repeatedly by this company non stop for three months and have informed them to do any further communication by mail and to cease phone calls and now being threatened by mark on credit report,Debt collection,"CAINE & WEINER COMPANY, INC.",0
"I PURCHASED MY VEHICLE XX/XX/2019, I WENT THROUGH XXXX AND HOT WATER TRYING TO GET MY CAR. THE FINANCE MANAGER SOLD ME A 5 YEAR EXTENDED WARRANTY FOR MY CAR. XX/XX/XXXX I STARTED HAVING ISSUES WITH MY CAR AND I CONTACTED THE WARRANTY COMPANY AND I WAS TOLD THAT I ONLY HAVE A 2 YEAR WARRANTY. I PULLED OUT MY PAPERWORK TO REVIEW ALL OF MY DOCUMENTS AND I NOTICED THAT NEITHER WERE THE ORIGINAL PAPERS AND THEY ONLY GAVE ME COPIES UPON THE DELIVERY OF THE VEHICLE. I HAVE CONTACT XXXX XXXX XXXX XXXX XXXX IN REFERENCE OF THIS MATTER AND NO ONE HAS CONTACT ME BACK AS OF XX/XX/2019. I TALKED TO MRS.XXXX MY CAR SALES PERSON AND SHE SPOKE TO XXXX THE OTHER FINANCE MANAGER BECAUSE XXXX WAS OUT SICK AND THE FIRST THING THAT HE STATED OUT OF HIS MOUTH IS THAT THEY DO NOT COVER ELECTRICAL ISSUES AND NOT ONE TIME I SAID ANYTHING ABOUT AN ELECTRICAL ISSUE, AFTER THAT I HAVE BEEN AFRAID TO PARK MY CAR IN THE GARAGE BECAUSE AFTER DRIVING MY CAR THE ALARM WILL SOUND OF AND REPEAT EVERY OTHER HOUR. MY NEIGHBORS HAS FILED A COMPLAINT WITH THE HOMEOWNERS ASSOCIATION AND IT IS  EMBARRASSING. I PAID XXXX FOR THE WARRANTY AND THE PAPERWORK THAT HAS MY SIGNATURE STATES EVERYTHING AND THE PAPERS THAT WAS DELIVERED TO ME DO NOT HAVE MY SIGNATURE. I HAVE ALL OF MY CONVERSATIONS RECORDED TO BACK UP EVERYTHING THAT I AM STATING AND I JUST WANT TO GET THE MATTER RESOLVED ASAP.. 

XXXX XXXX XXXX XXXX XXXX XXXX reviews XXXX dealer in the XXXX XXXX, Georgia Address : XXXX XXXX XXXX, XXXX XXXX, GA XXXX You visited in XX/XX/XXXXHours : Open Closes XXXX Phone : ( XXXX ) XXXX PLEASE HELP ME WITH THIS MATTER.",Vehicle loan or lease,Santander Consumer USA Holdings Inc.,5
"Better.com has a price match offer on mortgage rates and closing costs. Please the page below for the "" fine print '' ( attached as well, in case they update it with "" exclusions '' ). 
https : //better.com/faq/better-guarantee/whats-the-fine-print Unfortunately, the fine print does not mention exclusions, which after working with a loan officer privately, mentioned the loan estimate I presented, which I was told they could not beat the offer, added that my estimate is ineligible for the price guarantee.",Mortgage,"Better Mortgage, Inc.",2
"We feel we were not treated fairly by Comenity Bank on our Arhause Archarge Credit Card. We had mad a large purchase and took advantage of a 0 % offer. We knew we had to make pay off by the end of XXXX consequently on XX/XX/2020 we made a payment of {$4200.00} on our account. I was traveling at the time, unfortunately the amount I needed to pay was {$4000.00}. As a result of this human error of not paying {$72.00} we were charged {$830.00} in interest charges. When we were made aware of this we immediately contacted Comenity to get it resolved. Although they appeared to feel sorry for us they claimed there was nothing they could do stating if they reduced the fees for us they would have to do it for others. We escalated the matter to several mangers but no resolution. We spent over two hours on phone/hold trying for a fair resolution. We were told by Arhaus management  to keep trying because they knew for a fact they had made concessions in the past for other customers even with amounts significantly greater than {$72.00}. We continued to resolve with Comenity with out success, as a result we are pleading with you to help us in this situation where we feel we have no control but the bank is charging us excessively,",Credit card or prepaid card,Alliance Data Card Services,1
"Company violated my rights by law. By reporting an owed amount from my bank account as a credit issue then sold it to an outsource company called XXXX XXXX now its uses as a derogatory mark on my credit, which is illegal",Checking or savings account,BANK OF THE WEST,3
"I am having a dispute with Discover over a payment protection that was not authorized. From I have seen on the internet they have been made to give refunds to many people. The only gave me a year and I wa n't them to refund everything they charged without my consent. It would probably be about another {$5.00}. Can you handle a dispute with a credit card company? If so what would be the fee? 

XXXX XXXX",Credit card or prepaid card,DISCOVER BANK,1
"The company name was XXXX. They first contacted a reference I listed on my application on XX/XX/20 and she was told by the guy that contacted her that he was forseeing office for XXXX County and proceeded to give her a case number for me to contact them. I contacted them and was told that if I didn't pay them, they would proceed to take action and send my information to the county to take me to court. I recently just found out I'm pregnant so I was scared, offered my card number and attempted to make a payment for {$210.00} but card was declined. I told him I would call back when my direct deposit hit and the guy XXXX XXXX told me if I didn't call back that would be a breach of contract and they would go forward with submitting my information to the county. I didn't call back that day because I wanted to investigate especially since I just don't have the funds at the moment and they drafted my account anyway. The next day on XX/XX/20, I contacted them and asked them to remove my card information and the lady XXXX told me that means they would forward my case to county. They then proceeded to contact my mother in Mississippi that's not on any of my paperwork and also takes care of my XXXX father and attempted to collect the debt from her and let her know the amount of the debt. I contacted them again and asked them not to harass my mother, she then told me her number was removed but my mother received another phone call again this time telling her the company it was for Ace Cash Express. To my knowledge it is against the law for them to harass family members and to let them know the amount of the debt.",Debt collection,"Populus Financial Group, Inc.",0
"Wells Fargo is refusing to cancel private mortgage insurance on our mortgage even though it has reached an LTV ratio of 78 %. Ive contacted the company numerous times, and on XX/XX/2020, they sent a letter acknowledging that we reached 78 % LTV, but refuses to automatically cancel PMI.",Mortgage,WELLS FARGO & COMPANY,2
"My compliant is regarding USPS XXXX XXXX TX account shows delinquency on my credit report. As of XX/XX/2020, this account with USPS XXXX XXXX TX were paid in full. Please have Payliance Collection update account USPS XXXX XXXX TX paid in full on my consumer XXXX report.",Debt collection,"Collections Acquisition Company, Inc.",0
"In the midst of this COVID-19 outbreak. Discover Card/Discover Bank has conveniently decided to increase its late payment fee to {$40.00} dollars. Discover has done this knowing fully well that many persons will not be in a position to make there payments on time due to the economic effects of the COVID virus on them. 

Discover has done this to benefit itself. XXXX its customers to enrich itself in this time of social and economic peril.",Credit card or prepaid card,DISCOVER BANK,1
"In XXXX, I applied for an credit card with Wells Fargo Bank. The account was to be used for a balance transfer. The amount of the transfer I requested was XXXX. I was given a credit limit of XXXX dollars. I requested that this transaction go to XXXX XXXX XXXX. I provided Wells Fargo with my Card number. After waiting approximately three weeks I noticed that the new Wells Fargo account showed the XXXX dollars on my statement, but I did not see any credit for that amount on the XXXX XXXX account. I spoke with Wells Fargo customer service and found that they had transferred the money to the wrong account. It seems that there was an error in the last digit of the account number. XXXX  XXXX stated that the number they used was non existent. Wells Fargo does not want to take responsibility for this error even though they were the ones who did the transfer. I have been trying to get this resolved since XXXX to no avail. I am currently paying both financial institutions. I want Wells Fargo to credit my account. This is putting me in a real bind. I am a senior with very limited income. I am hoping you can help me with this issue as I am getting nowhere and I have been making double payments. I hope I explained this in a way that you can understand if not please call me. XXXX XXXX XXXX. 
XXXX XXXX XXXX",Credit card or prepaid card,WELLS FARGO & COMPANY,1
"Portfolio Recovery is a creditor company that says I owe three different quantities, {$1400.00}, {$1300.00}, and {$540.00}. I have previously contacted them stating that the amounts they are trying to collect are not correct and have even tried to settle the accounts by making agreeing to make small payments. They agreed to settle my accounts and lowering the amount, however, the amount did not go down after making two payments. Now I've been not only harassed by an outrageous amount of calls, but my family and friends have also received calls from this creditor. Now it has escalated to them threatening to sue and garnish my wages and have also shared my credit information with other fraudulent companies threatening to sue in their name.",Debt collection,PORTFOLIO RECOVERY ASSOCIATES INC,0
"I have never received any form of contact from Midwest Recovery Systems. One day I received a credit alert, and noticed my score dropped. The cause of the drop was due to a collection account reported by Midwest. Upon learning this, I have tried contacting the agency as I was not called, mailed, or in any sort of communication. I requested my debt to be verified twice. It was reported on XX/XX/XXXX as a collection/ charge off. The due amount is {$200.00}. That is all the information I have on this debt, and only because of my credit alerts. They have yet to reach me and it is already XX/XX/XXXX.",Debt collection,Midwest Recovery Systems,0
"Consumer Finance Protection Bureau Complaint filed XX/XX/2019 - I was purchasing airline tickets from XXXX today, XX/XX/XXXX, and in the purchase screen was an option to apply for a Delta Gold Sky Miles AmEx card, which, if approved and used for this purchase, would qualify for a {$250.00} statement credit in 8-12 weeks. 
- I selected the option, which opened a clearly labeled third-party popup screen, through which I read the terms and completed the application. In that popup I quickly received notification that I had been approved, downloaded a PDF with my new card number and temporary CID code, and selected a check box to have my credit card information sent to XXXX to "" complete my transaction. '' I have a screenshot of this. 
- The popup timed out and closed and the XXXX   checkout screen refreshed, populated with the new credit card information. 
- I rechecked the info and clicked Process Payment, but got an error message saying that the "" credit card ID number '' was invalid. I have a screenshot of this. I re-entered the credit card information, processed again, and got a popup window saying that XXXX did not accept temporary credit card numbers and would deny travel if I showed up at the airport without the physical card used to purchase the tickets and photo ID. 
- I called the AmEx customer service number on the new card PDF and was told that the charge for the tickets had been approved, multiple times, and that I might need to expedite delivery of the card to have it in time for my flight. AmEx agent XXXX told me this was a "" known issue '' and to contact XXXX Global Ticketing. She provided a number. 
-I called XXXX global ticketing, held for 30 minutes, spoke with XXXX , who located the attempted transaction with my Sky Miles number, and tried to process it again with the new credit card info. She got the same error message. She then created a new transaction and tried again. Same error, but she saved the record, and told me to contact AmEx to see why it wouldn't go through, and to call back to complete the transaction. 
- I called AmEx customer service again, this time spoke with XXXX, who transferred me to New Accounts. The rep in New Accounts said he was not the right person and transferred me back to Customer Service, where a rep named XXXX eventually said that I would need to have XXXX  contact AmEx to complete the transaction, and he gave me an AmEx number to give XXXX. 
- I called XXXX again, held for 30 minutes again, spoke with XXXX, who said she could not contact AmEx, the problem was a "" known issue '' in XXXX   ticketing, and I should call AmEx New Accounts because XXXX had determined that AmEx was issuing erroneous temporary CID codes with these credit cards and that's why the transactions were rejected. 
- I called AmEx New Accounts, spoke with XXXX, waited on hold 10 minutes, got transferred to XXXX, who told me that multiple charges for the tickets had been approved, but that if they weren't going through because XXXX was rejecting the temporary CID, it meant I couldn't make a purchase until I had the physical card in hand. She put me on hold for another 10 minutes, then told me that I could request expedited delivery of the card if I called back tomorrow, but she couldn't enter that request today. She said to call XXXX in the meanwhile to request that they put my transaction on hold until the card arrives "" since it's their fault you can't buy the tickets now. '' - I accessed my online AmEx account and discovered that there were 14 pending transactions from XXXX on the new apparently unusable card, all for the same amount. XXXX?! I have a screenshot of this. 
- I called XXXX ticketing, waited on hold for 20 minutes, and was told by XXXX that the pending charges would drop in 1-2 days and that the valid transaction could be put on hold for 6 calendar days to give time for the card to arrive. That's the potential resolution for this situation : hope the purchase can be made with the physical card 's CID number. 
- I am filing a complaint because I applied for this credit card, advertised as usable for a same-day transaction upon approval, and after being approved, it was not usable for the transaction the same day. Worse, it took me 3 hours of calling customer service lines for two companies to get to a potential resolution ( time will be the tell if it works ) despite the fact that my problem with this Delta Gold Sky Miles AmEx card is apparently a "" known issue '' at both companies. If it's a "" known issue, '' why are XXXX and AmEx still advertising this product as usable for same-day purchases? Do they make extra money off of me spending 3 hours of my day calling their customer service lines? The only reason I applied for this card was to use it for a same-day purchase that would qualify for a statement credit. If I had known what a hassle this would be, I obviously would have found another solution to purchase these tickets. 
- Sidenote : why am I getting these plane tickets? Because I need to attend my grandmother 's funeral a thousand miles away. That reason doesn't make these companies any more culpable, but it contextualizes my level of effort and grievance.",Credit card or prepaid card,AMERICAN EXPRESS COMPANY,1
"I made a mobile deposit with two, nearly identical, weekly payroll checks. They informed me the following day, one or both were counterfeit, and my account would be closed in two weeks without any investigation into the matter. I attempted to inform them my sister is my employer, and both checks were authentic, but they didnt seem to care. They cancelled one check, and are holding the other for two weeks. My sister issued me two replacement checks, but one can not be cleared until WF releases the other supposed bogus check. Ive bounced three checks because of this overreaction, and Ive nearly been evicted.",Checking or savings account,WELLS FARGO & COMPANY,3
"I am in disagreement with the items listed which still appear on my credit report, even afte r your Investigation. I would like these items immediately re-investigated. These inaccuracies are highly injurious to my credit rating. Furthermore, In accordance with The Fair Credit Reporting Act, Public law 91-506, Title VI, Section 611, Subsection A-D, please provide the names and business addresses of each individual with whom you verified the above, so that I may follow up. Please forward me an updated credit report after you have completed your Investigation and corrections. Your cooperation and prompt attention are greatly appreciated.",Debt collection,Selene Holdings LLC,0
"THIS ACCOUNT WAS PLACED ON MY CREDIT REPORT AFTER IT HAD BEEN INVESTIGATED I RECEIVED A LETTER XX/XX/2019 FROM DISCOVER STATING THE ACCOUNT DIDN'T BELONG TO ME AND I WAS NOT RESPONSIBLE CASE WAS CLOSED. 

CONSUMER FINANCIAL PROTECTION BUREAU CASE # XXXX DISCOVER PLACED IT BACK ON MY CREDIT",Credit card or prepaid card,DISCOVER BANK,1
